"Principal tunas Indian Ocean","Asia","Other gears","3846","","4442","","4340","","4479","","4789","","4948","","5253","","7695","","6448","","6406","","7717","","8637","","11852","","15500","","17308","","17146","","20786","","22286","","23096","","23629","","19861","","16153","","22609","","24421","","27474","","27126","","36702","","34492","","35744","","34914","","37737","","40730","","42957","","36457","","36577","","43569","","58548","","64572","","79753","","89455","","103371","","88521","","101273","","108431","","140347","","138618","","150140","","164560","","158910","","201181","","196272","","196630","","201108","","242886","","290777","","261555","","305372","","290794","","286971","","294989","","290702",""
"Principal tunas Indian Ocean","Asia","Pole and line","9942","","10042","","10052","","11054","","11086","","11586","","11596","","12588","","12587","","12588","","10586","","10403","","9821","","10234","","10143","","15616","","18860","","21162","","19931","","22337","","30779","","30468","","20897","","27960","","29365","","22206","","25980","","21257","","20527","","25590","","29233","","28577","","24638","","32025","","46531","","54794","","57799","","57985","","71873","","71668","","73707","","74462","","75110","","78264","","91362","","92744","","89273","","91334","","104990","","117907","","99431","","109905","","142739","","134933","","131269","","157574","","165747","","123009","","117896","","95278","","82511",""
"Principal tunas Indian Ocean","Asia","Purse seine","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","166","","1138","","1260","","1280","","976","","1904","","2235","","2704","","2291","","2783","","3344","","5625","","8063","","17588","","25421","","49668","","51483","","37075","","33373","","21933","","21489","","22050","","21276","","18915","","18537","","23167","","21012","","24190","","34992","","49963","","32879","","34145","","34560","","24021",""
"Principal tunas Indian Ocean","Asia","Troll line","509","","2865","","3110","","3155","","3891","","3891","","4128","","3947","","3946","","3953","","3907","","4195","","5204","","5321","","5416","","5705","","6600","","6716","","6719","","6973","","6984","","6552","","7873","","9229","","10461","","14553","","16682","","19254","","20970","","18116","","19781","","21340","","26173","","24875","","24959","","25148","","25246","","25037","","30147","","31738","","24570","","26924","","24557","","33259","","34676","","33765","","35572","","35460","","32040","","30816","","31057","","29029","","22702","","20078","","32163","","18905","","17948","","17580","","22259","","19929","","20331",""
"Principal tunas Indian Ocean","Europe","Longline","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","40","","101","","200","","276","","242","","599","","593","","1123","","1091","","1262","","1345","","1119","","1287","","1626","","2936","","2723","","2979","","1932","","2068","","1819",""
"Principal tunas Indian Ocean","Europe","Other gears","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","424","","509","","443","","565","","539","","392","","708","","850","","852","","930","","467","","609","","573","","453","","317","","293","","227","","190",""
"Principal tunas Indian Ocean","Europe","Pole and line","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","542","","69","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Principal tunas Indian Ocean","Europe","Purse seine","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","372","","2063","","20089","","85389","","112351","","127576","","148660","","193836","","195916","","175563","","176723","","185183","","198443","","212341","","243441","","220841","","211683","","168294","","224560","","225087","","208195","","255878","","284193","","261297","","289126","","301691","","191408","","208964","","182540","","195937",""
"Principal tunas Indian Ocean","Europe","Troll line","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","100","","200","","300","","300","","400","","500","","500","","400","","482","","359","","384","","323","","446","","394","","329","","309","","241","","231","","221","","182","","191","","215","","264","","250","","250","","309","","401","","0","-","0","-","0","-","0","-","0","-","0","-","95","","176","","207","","352","","514","","763","","652","","676","","676","","676","","676","","676",""
"Principal tunas Indian Ocean","Oceania","Longline","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","254","","66","","84","","181","","655","","899","","353","","132","","384","","487","","978","","896","","1073","","842","","506","","270","","74","","107","","110","","38","","388","","341",""
"Principal tunas Indian Ocean","Oceania","Other gears","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","48","","34","","5","","9","","2","","4","","35","","3","","36","","85","","47","","133","","523","","406","","28","","64","","86","","74","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","394","","137","","86","","5891","","3118","","50","","21","","129","","300","","32","","11","","3","","4","","5","","4","","2","","3","","2","","0","-","0","-","1","","0","-"
"Principal tunas Indian Ocean","Oceania","Pole and line","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","427","","77","","35","","10","","54","","192","","38","","6","","57","","0","-","22","","8","","68","","468","","212","","892","","1913","","4982","","2993","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Principal tunas Indian Ocean","Oceania","Purse seine","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","63","","310","","54","","65","","175","","626","","1072","","56","","0","-","583","","761","","319","","31","","1151","","0","-","0","-","12","","0","-","0","-","0","-","1038","","1144","","0","-","30","","0","-","446","","90","","892","","855","","0","-"
"Principal tunas Indian Ocean","Oceania","Troll line","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","16","","11","","35","","0","-","1","","2","","0","-","0","-","0","-","0","-","0","-","7","","20","","7","","6","","5","","6","","1","","0","-","0","-","0","-","0","-"
"Principal tunas Pacific","-","Longline","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","2","","0","-","0","-","1735","","2824","","5879","","6333","","3654","","1471","","700","","2400","","2400","","2400","","2400","","2400","","2456","","2400","","2403",""
"Principal tunas Pacific","-","Other gears","23572","","15802","","12391","","8145","","18404","","63912","","80287","","73936","","67994","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","79","","41","","0","-","36","","192","","16","","118","","137","","125","","1833","","167","","79","","208","","75","","3","","0","-","0","-"
"Principal tunas Pacific","-","Pole and line","115455","","111116","","98832","","94732","","107762","","50811","","58828","","58402","","46776","","0","-","0","-","471","","861","","645","","710","","657","","12042","","581","","822","","1823","","475","","0","-","15","","0","-","0","-","322","","424","","1","","736","","1178","","447","","0","-","0","-","0","-","38","","54","","29","","0","-","0","-","0","-","0","-","0","-","0","-","187","","63","","326","","0","-","374","","0","-","270","","125","","0","-","0","-","0","-","0","-","0","-","0","-","21","","1052","","2238","","1874",""
"Principal tunas Pacific","-","Purse seine","21597","","16169","","25861","","26542","","25039","","19221","","25247","","19902","","34644","","21293","","5224","","20105","","20121","","12434","","29456","","10104","","21055","","15180","","16918","","14125","","16379","","26462","","30668","","39001","","41348","","34970","","52669","","79638","","90615","","113720","","128630","","158782","","251964","","440934","","457086","","408849","","487202","","564575","","619656","","673652","","780020","","1000008","","976440","","860748","","996293","","963544","","929287","","1025499","","1308566","","1157143","","1241103","","1232252","","1372195","","1389083","","1482655","","1636927","","1708464","","1853364","","1929371","","1992430","","1858038",""
